reg_no | branch_code | penalized_subject_codes | subject_names | old_shown_grades | new_shown_grades | should_be_grades | shown_sgpa | corrected_sgpa | shown_cgpa | corrected_cgpa | status | old_result_url | new_result_url
21104130014 | 104 | 104401 | Analog Circuits | F | C | B | 6.57 | 6.70 | 7.32 | 7.35 | PENALTY_CONFIRMED | https://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=21104130014 | https://beu-bih.ac.in/result-three?name=B.Tech.+4th+Semester+Examination%2C+2025&semester=IV&session=2021-25&regNo=21104130014&exam_held=December%2F2025
21104130015 | 104 | 104401 | Analog Circuits | F | D | C | 6.43 | 6.57 | 6.63 | 6.67 | PENALTY_CONFIRMED | https://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=21104130015 | https://beu-bih.ac.in/result-three?name=B.Tech.+4th+Semester+Examination%2C+2025&semester=IV&session=2021-25&regNo=21104130015&exam_held=December%2F2025
21104130016 | 104 | 104405 | Semiconductor Physics and Devices | F | D | C | 5.65 | 5.78 | 6.7 | 6.73 | PENALTY_CONFIRMED | https://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=21104130016 | https://beu-bih.ac.in/result-three?name=B.Tech.+4th+Semester+Examination%2C+2025&semester=IV&session=2021-25&regNo=21104130016&exam_held=December%2F2025
21104130020 | 104 | 104401 | Analog Circuits | F | C | B | 6.43 | 6.57 | 7.29 | 7.33 | PENALTY_CONFIRMED | https://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=21104130020 | https://beu-bih.ac.in/result-three?name=B.Tech.+4th+Semester+Examination%2C+2025&semester=IV&session=2021-25&regNo=21104130020&exam_held=December%2F2025
21104131010 | 104 | 104403 | Digital Circuits | F | P | D | 5.74 | 5.91 | 6.62 | 6.66 | PENALTY_CONFIRMED | https://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=21104131010 | https://beu-bih.ac.in/result-three?name=B.Tech.+4th+Semester+Examination%2C+2025&semester=IV&session=2021-25&regNo=21104131010&exam_held=December%2F2025
21104131048 | 104 | 104403,104405 | Digital Circuits,Semiconductor Physics and Devices | F,F | P,D | D,C | 5.87 | 6.17 | 6.51 | 6.59 | PENALTY_CONFIRMED | https://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=21104131048 | https://beu-bih.ac.in/result-three?name=B.Tech.+4th+Semester+Examination%2C+2025&semester=IV&session=2021-25&regNo=21104131048&exam_held=December%2F2025
21104132015 | 104 | 104401 | Analog Circuits | F | D | C | 6.35 | 6.48 | 6.65 | 6.68 | PENALTY_CONFIRMED | https://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=21104132015 | https://beu-bih.ac.in/result-three?name=B.Tech.+4th+Semester+Examination%2C+2025&semester=IV&session=2021-25&regNo=21104132015&exam_held=December%2F2025
21104133001 | 104 | 100408P,104403 | MOOCs / SWAYAM / NPTEL Courses - 1,Digital Circuits | F,F | D,P | C,D | 6.39 | 6.65 | 6.47 | 6.54 | PENALTY_CONFIRMED | https://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=21104133001 | https://beu-bih.ac.in/result-three?name=B.Tech.+4th+Semester+Examination%2C+2025&semester=IV&session=2021-25&regNo=21104133001&exam_held=December%2F2025
21104133004 | 104 | 104403 | Digital Circuits | F | P | D | 6.52 | 6.70 | 6.67 | 6.71 | PENALTY_CONFIRMED | https://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=21104133004 | https://beu-bih.ac.in/result-three?name=B.Tech.+4th+Semester+Examination%2C+2025&semester=IV&session=2021-25&regNo=21104133004&exam_held=December%2F2025
21104133012 | 104 | 104403 | Digital Circuits | F | P | D | 6.22 | 6.39 | 6.69 | 6.74 | PENALTY_CONFIRMED | https://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=21104133012 | https://beu-bih.ac.in/result-three?name=B.Tech.+4th+Semester+Examination%2C+2025&semester=IV&session=2021-25&regNo=21104133012&exam_held=December%2F2025
21104133017 | 104 | 104401 | Analog Circuits | F | D | C | 6 | 6.13 | 6.1 | 6.13 | PENALTY_CONFIRMED | https://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=21104133017 | https://beu-bih.ac.in/result-three?name=B.Tech.+4th+Semester+Examination%2C+2025&semester=IV&session=2021-25&regNo=21104133017&exam_held=December%2F2025
