reg_no | branch_code | penalized_subject_codes | subject_names | old_shown_grades | new_shown_grades | should_be_grades | shown_sgpa | corrected_sgpa | shown_cgpa | corrected_cgpa | status | old_result_url | new_result_url
23102127007 | 102 | 100205 | WORKSHOP MANUFACTURING PRACTICES | F | D | C | 7.24 | 7.29 | 6.83 | 6.85 | PENALTY_CONFIRMED | http://results.beup.ac.in/ResultsBTech2ndSem2024_B2023Pub.aspx?Sem=II&RegNo=23102127007 | https://beu-bih.ac.in/result-three?name=B.Tech.+2nd+Semester+Examination%2C+2025+%28Old%29&semester=II&session=2025&regNo=23102127007&exam_held=November%2F2025
23102127008 | 102 | 100204 | PROGRAMMING FOR PROBLEM SOLVING | F | P | D | 6.8 | 6.95 | 6.04 | 6.12 | PENALTY_CONFIRMED | http://results.beup.ac.in/ResultsBTech2ndSem2024_B2023Pub.aspx?Sem=II&RegNo=23102127008 | https://beu-bih.ac.in/result-three?name=B.Tech.+2nd+Semester+Examination%2C+2025+%28Old%29&semester=II&session=2025&regNo=23102127008&exam_held=November%2F2025
23102128014 | 102 | 100203 | CHEMISTRY | F | P | D | 7.56 | 7.76 | 6.46 | 6.57 | PENALTY_CONFIRMED | http://results.beup.ac.in/ResultsBTech2ndSem2024_B2023Pub.aspx?Sem=II&RegNo=23102128014 | https://beu-bih.ac.in/result-three?name=B.Tech.+2nd+Semester+Examination%2C+2025+%28Old%29&semester=II&session=2025&regNo=23102128014&exam_held=November%2F2025
23102129003 | 102 | 100203 | CHEMISTRY | F | D | C | 7.37 | 7.56 | 7.11 | 7.21 | PENALTY_CONFIRMED | http://results.beup.ac.in/ResultsBTech2ndSem2024_B2023Pub.aspx?Sem=II&RegNo=23102129003 | https://beu-bih.ac.in/result-three?name=B.Tech.+2nd+Semester+Examination%2C+2025+%28Old%29&semester=II&session=2025&regNo=23102129003&exam_held=November%2F2025
23102129005 | 102 | 100204 | PROGRAMMING FOR PROBLEM SOLVING | F | P | D | 6.29 | 6.44 | 5.57 | 5.64 | PENALTY_CONFIRMED | http://results.beup.ac.in/ResultsBTech2ndSem2024_B2023Pub.aspx?Sem=II&RegNo=23102129005 | https://beu-bih.ac.in/result-three?name=B.Tech.+2nd+Semester+Examination%2C+2025+%28Old%29&semester=II&session=2025&regNo=23102129005&exam_held=November%2F2025
23102130001 | 102 | 102202 | MATHEMATICS - II (ODE & COMPLEX VARIABLES) | F | D | C | 7.24 | 7.44 | 7.21 | 7.32 | PENALTY_CONFIRMED | http://results.beup.ac.in/ResultsBTech2ndSem2024_B2023Pub.aspx?Sem=II&RegNo=23102130001 | https://beu-bih.ac.in/result-three?name=B.Tech.+2nd+Semester+Examination%2C+2025+%28Old%29&semester=II&session=2025&regNo=23102130001&exam_held=November%2F2025
23102130003 | 102 | 100206,102202 | ENGLISH,MATHEMATICS - II (ODE & COMPLEX VARIABLES) | F,F | C,D | B,C | 7.76 | 8.05 | 7.38 | 7.54 | PENALTY_CONFIRMED | http://results.beup.ac.in/ResultsBTech2ndSem2024_B2023Pub.aspx?Sem=II&RegNo=23102130003 | https://beu-bih.ac.in/result-three?name=B.Tech.+2nd+Semester+Examination%2C+2025+%28Old%29&semester=II&session=2025&regNo=23102130003&exam_held=November%2F2025
23102130007 | 102 | 102202 | MATHEMATICS - II (ODE & COMPLEX VARIABLES) | F | P | D | 6.68 | 6.88 | 5.88 | 5.99 | PENALTY_CONFIRMED | http://results.beup.ac.in/ResultsBTech2ndSem2024_B2023Pub.aspx?Sem=II&RegNo=23102130007 | https://beu-bih.ac.in/result-three?name=B.Tech.+2nd+Semester+Examination%2C+2025+%28Old%29&semester=II&session=2025&regNo=23102130007&exam_held=November%2F2025
23102131009 | 102 | 100204 | PROGRAMMING FOR PROBLEM SOLVING | F | D | C | 7.34 | 7.49 | 6.79 | 6.87 | PENALTY_CONFIRMED | http://results.beup.ac.in/ResultsBTech2ndSem2024_B2023Pub.aspx?Sem=II&RegNo=23102131009 | https://beu-bih.ac.in/result-three?name=B.Tech.+2nd+Semester+Examination%2C+2025+%28Old%29&semester=II&session=2025&regNo=23102131009&exam_held=November%2F2025
23102131010 | 102 | 100205 | WORKSHOP MANUFACTURING PRACTICES | F | D | C | 7.34 | 7.39 | 7.29 | 7.32 | PENALTY_CONFIRMED | http://results.beup.ac.in/ResultsBTech2ndSem2024_B2023Pub.aspx?Sem=II&RegNo=23102131010 | https://beu-bih.ac.in/result-three?name=B.Tech.+2nd+Semester+Examination%2C+2025+%28Old%29&semester=II&session=2025&regNo=23102131010&exam_held=November%2F2025
23102131012 | 102 | 100204 | PROGRAMMING FOR PROBLEM SOLVING | F | P | D | 6.56 | 6.71 | 6.47 | 6.55 | PENALTY_CONFIRMED | http://results.beup.ac.in/ResultsBTech2ndSem2024_B2023Pub.aspx?Sem=II&RegNo=23102131012 | https://beu-bih.ac.in/result-three?name=B.Tech.+2nd+Semester+Examination%2C+2025+%28Old%29&semester=II&session=2025&regNo=23102131012&exam_held=November%2F2025
23102131013 | 102 | 102202 | MATHEMATICS - II (ODE & COMPLEX VARIABLES) | F | P | D | 6.66 | 6.85 | 6.37 | 6.47 | PENALTY_CONFIRMED | http://results.beup.ac.in/ResultsBTech2ndSem2024_B2023Pub.aspx?Sem=II&RegNo=23102131013 | https://beu-bih.ac.in/result-three?name=B.Tech.+2nd+Semester+Examination%2C+2025+%28Old%29&semester=II&session=2025&regNo=23102131013&exam_held=November%2F2025
23102131014 | 102 | 100206 | ENGLISH | F | D | C | 7.02 | 7.12 | 6.78 | 6.83 | PENALTY_CONFIRMED | http://results.beup.ac.in/ResultsBTech2ndSem2024_B2023Pub.aspx?Sem=II&RegNo=23102131014 | https://beu-bih.ac.in/result-three?name=B.Tech.+2nd+Semester+Examination%2C+2025+%28Old%29&semester=II&session=2025&regNo=23102131014&exam_held=November%2F2025
